in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
-2,-1,-2,0.077098,219.016594,dy_4-2_dx_0-1_dy_0-2.png
-1.2,-1,-2,0.085284,218.115904,dy_4-1.2_dx_0-1_dy_0-2.png
-0.4,-1,-2,0.135965,224.573488,dy_4-0.4_dx_0-1_dy_0-2.png
0.4,-1,-2,0.131091,239.031108,dy_40.4_dx_0-1_dy_0-2.png
1.2,-1,-2,0.07695,260.793239,dy_41.2_dx_0-1_dy_0-2.png
2,-1,-2,0.061015,287.545066,dy_42_dx_0-1_dy_0-2.png
-2,-0.6,-2,0.069733,203.289205,dy_4-2_dx_0-0.6_dy_0-2.png
-1.2,-0.6,-2,0.076478,203.843603,dy_4-1.2_dx_0-0.6_dy_0-2.png
-0.4,-0.6,-2,0.120874,211.498702,dy_4-0.4_dx_0-0.6_dy_0-2.png
0.4,-0.6,-2,0.121775,226.835884,dy_40.4_dx_0-0.6_dy_0-2.png
1.2,-0.6,-2,0.074803,249.240352,dy_41.2_dx_0-0.6_dy_0-2.png
2,-0.6,-2,0.060119,276.471742,dy_42_dx_0-0.6_dy_0-2.png
-2,-0.2,-2,0.061182,189.221377,dy_4-2_dx_0-0.2_dy_0-2.png
-1.2,-0.2,-2,0.06938,191.511417,dy_4-1.2_dx_0-0.2_dy_0-2.png
-0.4,-0.2,-2,0.111271,200.378291,dy_4-0.4_dx_0-0.2_dy_0-2.png
0.4,-0.2,-2,0.116546,216.524901,dy_40.4_dx_0-0.2_dy_0-2.png
1.2,-0.2,-2,0.07378,239.489341,dy_41.2_dx_0-0.2_dy_0-2.png
2,-0.2,-2,0.059809,267.125432,dy_42_dx_0-0.2_dy_0-2.png
-2,0.2,-2,0.053613,177.140343,dy_4-2_dx_00.2_dy_0-2.png
-1.2,0.2,-2,0.065112,181.34246,dy_4-1.2_dx_00.2_dy_0-2.png
-0.4,0.2,-2,0.107269,191.30369,dy_4-0.4_dx_00.2_dy_0-2.png
0.4,0.2,-2,0.115503,208.115515,dy_40.4_dx_00.2_dy_0-2.png
1.2,0.2,-2,0.073972,231.518384,dy_41.2_dx_00.2_dy_0-2.png
2,0.2,-2,0.060114,259.462741,dy_42_dx_00.2_dy_0-2.png
-2,0.6,-2,0.049827,167.680903,dy_4-2_dx_00.6_dy_0-2.png
-1.2,0.6,-2,0.064315,173.574509,dy_4-1.2_dx_00.6_dy_0-2.png
-0.4,0.6,-2,0.108918,184.322582,dy_4-0.4_dx_00.6_dy_0-2.png
0.4,0.6,-2,0.118752,201.576238,dy_40.4_dx_00.6_dy_0-2.png
1.2,0.6,-2,0.075399,225.259703,dy_41.2_dx_00.6_dy_0-2.png
2,0.6,-2,0.061023,253.397429,dy_42_dx_00.6_dy_0-2.png
-2,1,-2,0.054417,150.892451,dy_4-2_dx_01_dy_0-2.png
-1.2,1,-2,0.075515,148.802356,dy_4-1.2_dx_01_dy_0-2.png
-0.4,1,-2,0.148277,151.135757,dy_4-0.4_dx_01_dy_0-2.png
0.4,1,-2,0.166669,159.840281,dy_40.4_dx_01_dy_0-2.png
1.2,1,-2,0.091633,174.915928,dy_41.2_dx_01_dy_0-2.png
2,1,-2,0.070772,194.41507,dy_42_dx_01_dy_0-2.png
-2,-1,-1.2,0.094917,196.68747,dy_4-2_dx_0-1_dy_0-1.2.png
-1.2,-1,-1.2,0.106257,190.812928,dy_4-1.2_dx_0-1_dy_0-1.2.png
-0.4,-1,-1.2,0.150836,194.335733,dy_4-0.4_dx_0-1_dy_0-1.2.png
0.4,-1,-1.2,0.12605,207.164441,dy_40.4_dx_0-1_dy_0-1.2.png
1.2,-1,-1.2,0.072777,227.993183,dy_41.2_dx_0-1_dy_0-1.2.png
2,-1,-1.2,0.057909,254.178809,dy_42_dx_0-1_dy_0-1.2.png
-2,-0.6,-1.2,0.093234,180.117199,dy_4-2_dx_0-0.6_dy_0-1.2.png
-1.2,-0.6,-1.2,0.092386,175.29268,dy_4-1.2_dx_0-0.6_dy_0-1.2.png
-0.4,-0.6,-1.2,0.124064,180.270574,dy_4-0.4_dx_0-0.6_dy_0-1.2.png
0.4,-0.6,-1.2,0.112506,194.296795,dy_40.4_dx_0-0.6_dy_0-1.2.png
1.2,-0.6,-1.2,0.069837,216.005101,dy_41.2_dx_0-0.6_dy_0-1.2.png
2,-0.6,-1.2,0.056774,242.833064,dy_42_dx_0-0.6_dy_0-1.2.png
-2,-0.2,-1.2,0.089301,165.079546,dy_4-2_dx_0-0.2_dy_0-1.2.png
-1.2,-0.2,-1.2,0.077564,161.803404,dy_4-1.2_dx_0-0.2_dy_0-1.2.png
-0.4,-0.2,-1.2,0.106095,168.516939,dy_4-0.4_dx_0-0.2_dy_0-1.2.png
0.4,-0.2,-1.2,0.104769,183.754936,dy_40.4_dx_0-0.2_dy_0-1.2.png
1.2,-0.2,-1.2,0.068548,206.272669,dy_41.2_dx_0-0.2_dy_0-1.2.png
2,-0.2,-1.2,0.056533,233.660605,dy_42_dx_0-0.2_dy_0-1.2.png
-2,0.2,-1.2,0.078989,151.437848,dy_4-2_dx_00.2_dy_0-1.2.png
-1.2,0.2,-1.2,0.065637,150.566467,dy_4-1.2_dx_00.2_dy_0-1.2.png
-0.4,0.2,-1.2,0.097459,159.192079,dy_4-0.4_dx_00.2_dy_0-1.2.png
0.4,0.2,-1.2,0.103104,175.524433,dy_40.4_dx_00.2_dy_0-1.2.png
1.2,0.2,-1.2,0.069088,198.70738,dy_41.2_dx_00.2_dy_0-1.2.png
2,0.2,-1.2,0.057226,226.533745,dy_42_dx_00.2_dy_0-1.2.png
-2,0.6,-1.2,0.05735,139.183918,dy_4-2_dx_00.6_dy_0-1.2.png
-1.2,0.6,-1.2,0.060676,142.094994,dy_4-1.2_dx_00.6_dy_0-1.2.png
-0.4,0.6,-1.2,0.098351,152.412096,dy_4-0.4_dx_00.6_dy_0-1.2.png
0.4,0.6,-1.2,0.1078,169.531291,dy_40.4_dx_00.6_dy_0-1.2.png
1.2,0.6,-1.2,0.071494,193.15607,dy_41.2_dx_00.6_dy_0-1.2.png
2,0.6,-1.2,0.058817,221.263031,dy_42_dx_00.6_dy_0-1.2.png
-2,1,-1.2,0.049296,128.427435,dy_4-2_dx_01_dy_0-1.2.png
-1.2,1,-1.2,0.06913,126.33734,dy_4-1.2_dx_01_dy_0-1.2.png
-0.4,1,-1.2,0.131674,128.670741,dy_4-0.4_dx_01_dy_0-1.2.png
0.4,1,-1.2,0.15092,137.375265,dy_40.4_dx_01_dy_0-1.2.png
