in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-1,-1,-2,0.080251,214.685969,https://drive.google.com/uc?export=view&id=1Ko0sHS9Gakjo4DYBklW2V7apqR8U_WwH
-0.2,-1,-2,0.096052,193.443396,https://drive.google.com/uc?export=view&id=1M57Rqk6QV-0aCXpABFxLZ3IpUSh6vj9_
0.6,-1,-2,0.082295,178.898364,https://drive.google.com/uc?export=view&id=1KA-P_nMcWriNu9pAFMfeapPNxc0933nb
1.4,-1,-2,0.062428,170.01306,https://drive.google.com/uc?export=view&id=1UGxjoWlBRNK1pMS3mKPymuccEttVnfZP
2.2,-1,-2,0.054027,179.458413,https://drive.google.com/uc?export=view&id=1Q1GXqqai2kFEYD7w-r8styMvF3p8698_
3,-1,-2,0.054326,210.894847,https://drive.google.com/uc?export=view&id=1QqvE6-F-7TT5lEhFFCFZZXpBUCJS-56F
-1,-0.6,-2,0.07297,198.740466,https://drive.google.com/uc?export=view&id=1R_2VI5KltEj900V06z5M7jRAPGxx_--M
-0.2,-0.6,-2,0.095294,176.87652,https://drive.google.com/uc?export=view&id=1TmY-lfS3YCWyeHzBhVuNLHoC36-jpTAc
0.6,-0.6,-2,0.071878,163.497811,https://drive.google.com/uc?export=view&id=1ITtBgxeUxXv8-dAcLsSGYEpdwJpig3YV
1.4,-0.6,-2,0.048823,157.95964,https://drive.google.com/uc?export=view&id=1K6Y2FyThD0PEXUAKFKMz51gMn0ymF3U7
2.2,-0.6,-2,0.066809,169.479619,https://drive.google.com/uc?export=view&id=1LnXp0DlllUHSRG7bHZ3iMw1cWDjLXHT1
3,-0.6,-2,0.053643,199.349079,https://drive.google.com/uc?export=view&id=1RXbgdpdkowOdi6GO2Y7ZG0ZH8jVltFqr
-1,-0.2,-2,0.063667,184.417418,https://drive.google.com/uc?export=view&id=1JNVCjR4djQH8yYQqRHVscsqDhZg-fgAa
-0.2,-0.2,-2,0.093449,161.900076,https://drive.google.com/uc?export=view&id=1ROTX0m4cdclb3vr06Dny3FSzgHmUWP6J
0.6,-0.2,-2,0.057417,150.822512,https://drive.google.com/uc?export=view&id=1KmssCcxj1zKBRqWAyD6gMBwOci1HudLS
1.4,-0.2,-2,0.05648,150.23096,https://drive.google.com/uc?export=view&id=1KukpeyaBqqcI_Mdl10RLSDEEpSN9NB5i
2.2,-0.2,-2,0.080012,163.80679,https://drive.google.com/uc?export=view&id=1P3Gvn9anm5ZKBT1mLR5tiaQ-uL1uaaBn
3,-0.2,-2,0.054847,191.121098,https://drive.google.com/uc?export=view&id=1TZHhaOiGr6ywHLupk6-p0kpozGL7quQt
-1,0.2,-2,0.054539,172.013118,https://drive.google.com/uc?export=view&id=1HMxFbZ_e2ts7m-Po9j52Bc6sJY2rGVq1
-0.2,0.2,-2,0.08772,148.296888,https://drive.google.com/uc?export=view&id=1LfGRsPvRcdzNNfBX1fg-t3wzXJavOKE0
0.6,0.2,-2,0.048635,140.538841,https://drive.google.com/uc?export=view&id=1NPsSChvxPgRp48YFsb0iUmXsuVKYfvGl
1.4,0.2,-2,0.072952,144.690279,https://drive.google.com/uc?export=view&id=1J7AKHVnuAxvGGU7sbpACPSKzFW6jXimS
2.2,0.2,-2,0.084157,159.915987,https://drive.google.com/uc?export=view&id=1Pp5A3J2JNuWoEJoXp_tr3-ZrcjCFM1BF
3,0.2,-2,0.057766,185.491433,https://drive.google.com/uc?export=view&id=1RRDU86tZW8IrLi_zH4WF4uMAqgBP93jv
-1,0.6,-2,0.049448,162.209509,https://drive.google.com/uc?export=view&id=1Jt7eCR9O-xOO2rH6yhUtCiUIGUBsgT7T
-0.2,0.6,-2,0.067239,135.818279,https://drive.google.com/uc?export=view&id=1Q8ujn2EreGDnNVj5kjr8NkE1C_6qS3_H
0.6,0.6,-2,0.05235,132.878528,https://drive.google.com/uc?export=view&id=1OT4jBiYSSjlVszrQCIUWGZRZg8KxbS2A
1.4,0.6,-2,0.080309,141.107724,https://drive.google.com/uc?export=view&id=1JgpHwuzeMh4axLrqYddOxD_pLCsMC8Zi
2.2,0.6,-2,0.086868,157.51043,https://drive.google.com/uc?export=view&id=1HSacB_F1PZ8bzDK_i980G1-O5zRsjjET
3,0.6,-2,0.061986,181.889486,https://drive.google.com/uc?export=view&id=1UM_g5OZ8-mwSR0ePCwWAln0FrFzmmoA9
-1,1,-2,0.053428,146.853054,https://drive.google.com/uc?export=view&id=1N9g7Tjkie6e7PLj5ZCNs-RKUUu-BiZXR
-0.2,1,-2,0.048734,124.683472,https://drive.google.com/uc?export=view&id=1RfUNDQfHKQRsOM0agSNi4-tNeYlglSvi
0.6,1,-2,0.061545,121.041575,https://drive.google.com/uc?export=view&id=1NhLP8h3vOq0bUqAoHmL3n488ozFG-KTr
1.4,1,-2,0.085814,122.965445,https://drive.google.com/uc?export=view&id=1U9KMwR1jtiG1-o3-2tQ68tVdjmyVnx4f
2.2,1,-2,0.09019,131.158053,https://drive.google.com/uc?export=view&id=1MRBhbSDpVbbfyRQv7YwN71Sirh7rSnKv
3,1,-2,0.071334,145.811941,https://drive.google.com/uc?export=view&id=1M5T0vtJkbnH4yeAcPNNMAFBpH9p28IFN
-1,-1,-1.2,0.087288,213.076614,https://drive.google.com/uc?export=view&id=1P6jqAbldcIWK28plA90QAJu_IujjZtZq
-0.2,-1,-1.2,0.112779,186.482303,https://drive.google.com/uc?export=view&id=1MMXhe6HxXkaK5hRTw2xpJ_ax-4vpL12v
0.6,-1,-1.2,0.147781,165.239729,https://drive.google.com/uc?export=view&id=1KylQ7SUF1YgksfvvoKu-Khxnm4o31n5g
1.4,-1,-1.2,0.115283,150.694698,https://drive.google.com/uc?export=view&id=1Ob3n3cDHq0ozXkiZCCXF-34g3pUZSOCA
2.2,-1,-1.2,0.081891,156.607084,https://drive.google.com/uc?export=view&id=1QN0XRB5FTueyHkhD-R0nz18yurnOkH-Z
3,-1,-1.2,0.071493,186.072842,https://drive.google.com/uc?export=view&id=1SwMxhul4A2ymHEXNTd-P2WuvQGmpD13t
-1,-0.6,-1.2,0.077585,198.588833,https://drive.google.com/uc?export=view&id=1K3aLI43uLnbgZ8AMUBcEVqKxFNJ0XlWR
-0.2,-0.6,-1.2,0.098722,170.76832,https://drive.google.com/uc?export=view&id=1SNR28YixQPyLc5jL_oumclYTb3XTpHBg
0.6,-0.6,-1.2,0.145854,149.184084,https://drive.google.com/uc?export=view&id=1KHFymb68LSfQiygoehdqs65AEIJoSrTz
1.4,-0.6,-1.2,0.08967,137.20091,https://drive.google.com/uc?export=view&id=1PYfiJe5kAmF9-JrB21oB-zwqqx0TNJme
2.2,-0.6,-1.2,0.091329,145.323714,https://drive.google.com/uc?export=view&id=1OKSos3cRZzgOu-XnKOoFKoUSOgWLJwsX
3,-0.6,-1.2,0.068071,173.55152,https://drive.google.com/uc?export=view&id=1Qqdnm4zKdlUuwdPiweTVhv0CWevweHqh
-1,-0.2,-1.2,0.069519,186.069605,https://drive.google.com/uc?export=view&id=1RO6LW633AEGhtCR13l1KxdukL1OmESh6
-0.2,-0.2,-1.2,0.082277,157.086505,https://drive.google.com/uc?export=view&id=1KVGeCN_i-jzx9liwSmWAfr9IDLg2v7L8
0.6,-0.2,-1.2,0.141431,135.494498,https://drive.google.com/uc?export=view&id=1SrQnwBVHYym3eAR6UaQexx1edZOxsykt
1.4,-0.2,-1.2,0.075548,127.63063,https://drive.google.com/uc?export=view&id=1PvLninf9bD8eCKTNKuhWo69ROPTw1OOr
2.2,-0.2,-1.2,0.108759,138.270605,https://drive.google.com/uc?export=view&id=1Nl06nvHzs-rz0i1TIVzVelU4hiQ2mi_3
3,-0.2,-1.2,0.067782,164.40297,https://drive.google.com/uc?export=view&id=1J4QM-lDhel2AT8hEmNZdcaFqdFDmOZCD
-1,0.2,-1.2,0.064497,175.758354,https://drive.google.com/uc?export=view&id=1KkP4LTQPGXKTkvgFY6JZ6P60w4Ik9OVz
-0.2,0.2,-1.2,0.067726,145.604373,https://drive.google.com/uc?export=view&id=1SiLOE9OqotaZp1qQeLp-HVlSiCwYQ7QV
0.6,0.2,-1.2,0.128979,123.487328,https://drive.google.com/uc?export=view&id=1QNRr6c1zc7IiN1AJzJh6uIP-GXE86In5
1.4,0.2,-1.2,0.094358,119.846002,https://drive.google.com/uc?export=view&id=1Lre71en9ohIx90jRZW1Hr6sJSpywXpQW
2.2,0.2,-1.2,0.119893,133.070711,https://drive.google.com/uc?export=view&id=1HZGq1pr-I3sMKi_1lFjGWK07ZdMnb4wt
3,0.2,-1.2,0.070976,157.998606,https://drive.google.com/uc?export=view&id=1K4HN8tHMwIEPyIQDG6csCNADJApR_Jwo
-1,0.6,-1.2,0.063374,167.932602,https://drive.google.com/uc?export=view&id=1KPjOQiUyGxEEkRxU61WptyH4vujpDX0p
-0.2,0.6,-1.2,0.060868,136.861759,https://drive.google.com/uc?export=view&id=1LGYeNled2kCURq8lmyosJ6uO4l6TYBz6
0.6,0.6,-1.2,0.094066,112.580426,https://drive.google.com/uc?export=view&id=1RZecnvSwjQgpAVrAk-sYr7hP3206rc4i
1.4,0.6,-1.2,0.112689,113.994068,https://drive.google.com/uc?export=view&id=1QB7OtyZRxrM7ICxsUKRM5O90Yg3JRNJI
2.2,0.6,-1.2,0.127536,129.680152,https://drive.google.com/uc?export=view&id=1NdAmnd6qUJCj6dzcADhJBiYHn8VZmvzn
3,0.6,-1.2,0.077442,153.872242,https://drive.google.com/uc?export=view&id=1I7s7gx7hGvG2NUdzKhGBd1eAiXt1SxvX
-1,1,-1.2,0.074249,144.762959,https://drive.google.com/uc?export=view&id=1M5k-ZLm0XKOdpwtG52N72rsD5oY7v0h7
-0.2,1,-1.2,0.068456,122.593377,https://drive.google.com/uc?export=view&id=1Pudk9p-Zio5Jw0mTy9eRoh5gG79rxFl_
0.6,1,-1.2,0.073887,102.848111,https://drive.google.com/uc?export=view&id=1L5r4UKuDMCM_wrye_pprww-JgPXqx8Xc
1.4,1,-1.2,0.124592,103.466303,https://drive.google.com/uc?export=view&id=1J4vu-ASgUJ1y7bQayTRLFwlf49D8fjrA
2.2,1,-1.2,0.134674,111.65891,https://drive.google.com/uc?export=view&id=1OnE6VzbrufsnzXkgRKcwPXy_P2Du0st-
3,1,-1.2,0.09285,126.312799,https://drive.google.com/uc?export=view&id=1QheotqYszZ-2-666LqENBhNCeVB2z2wt
-1,-1,-0.4,0.136459,219.13712,https://drive.google.com/uc?export=view&id=1I4w2nNZDBo1CB6VKVdienoc7exALrIaL
-0.2,-1,-0.4,0.158233,189.296443,https://drive.google.com/uc?export=view&id=1PRcgNAT5M21cMSuMA69efwnvN-sDgo12
0.6,-1,-0.4,0.289061,162.702132,https://drive.google.com/uc?export=view&id=1OKyYKbXrLOVhd6asu9PW1IROxa7BqAJq
