in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-1,-1,-2,0.080251,214.685969,dy_4-1_dx_0-1_dy_0-2.png
-0.2,-1,-2,0.096052,193.443396,dy_4-0.2_dx_0-1_dy_0-2.png
0.6,-1,-2,0.082295,178.898364,dy_40.6_dx_0-1_dy_0-2.png
1.4,-1,-2,0.062428,170.01306,dy_41.4_dx_0-1_dy_0-2.png
2.2,-1,-2,0.054027,179.458413,dy_42.2_dx_0-1_dy_0-2.png
3,-1,-2,0.054326,210.894847,dy_43_dx_0-1_dy_0-2.png
-1,-0.6,-2,0.07297,198.740466,dy_4-1_dx_0-0.6_dy_0-2.png
-0.2,-0.6,-2,0.095294,176.87652,dy_4-0.2_dx_0-0.6_dy_0-2.png
0.6,-0.6,-2,0.071878,163.497811,dy_40.6_dx_0-0.6_dy_0-2.png
1.4,-0.6,-2,0.048823,157.95964,dy_41.4_dx_0-0.6_dy_0-2.png
2.2,-0.6,-2,0.066809,169.479619,dy_42.2_dx_0-0.6_dy_0-2.png
3,-0.6,-2,0.053643,199.349079,dy_43_dx_0-0.6_dy_0-2.png
-1,-0.2,-2,0.063667,184.417418,dy_4-1_dx_0-0.2_dy_0-2.png
-0.2,-0.2,-2,0.093449,161.900076,dy_4-0.2_dx_0-0.2_dy_0-2.png
0.6,-0.2,-2,0.057417,150.822512,dy_40.6_dx_0-0.2_dy_0-2.png
1.4,-0.2,-2,0.05648,150.23096,dy_41.4_dx_0-0.2_dy_0-2.png
2.2,-0.2,-2,0.080012,163.80679,dy_42.2_dx_0-0.2_dy_0-2.png
3,-0.2,-2,0.054847,191.121098,dy_43_dx_0-0.2_dy_0-2.png
-1,0.2,-2,0.054539,172.013118,dy_4-1_dx_00.2_dy_0-2.png
-0.2,0.2,-2,0.08772,148.296888,dy_4-0.2_dx_00.2_dy_0-2.png
0.6,0.2,-2,0.048635,140.538841,dy_40.6_dx_00.2_dy_0-2.png
1.4,0.2,-2,0.072952,144.690279,dy_41.4_dx_00.2_dy_0-2.png
2.2,0.2,-2,0.084157,159.915987,dy_42.2_dx_00.2_dy_0-2.png
3,0.2,-2,0.057766,185.491433,dy_43_dx_00.2_dy_0-2.png
-1,0.6,-2,0.049448,162.209509,dy_4-1_dx_00.6_dy_0-2.png
-0.2,0.6,-2,0.067239,135.818279,dy_4-0.2_dx_00.6_dy_0-2.png
0.6,0.6,-2,0.05235,132.878528,dy_40.6_dx_00.6_dy_0-2.png
1.4,0.6,-2,0.080309,141.107724,dy_41.4_dx_00.6_dy_0-2.png
2.2,0.6,-2,0.086868,157.51043,dy_42.2_dx_00.6_dy_0-2.png
3,0.6,-2,0.061986,181.889486,dy_43_dx_00.6_dy_0-2.png
-1,1,-2,0.053428,146.853054,dy_4-1_dx_01_dy_0-2.png
-0.2,1,-2,0.048734,124.683472,dy_4-0.2_dx_01_dy_0-2.png
0.6,1,-2,0.061545,121.041575,dy_40.6_dx_01_dy_0-2.png
1.4,1,-2,0.085814,122.965445,dy_41.4_dx_01_dy_0-2.png
2.2,1,-2,0.09019,131.158053,dy_42.2_dx_01_dy_0-2.png
3,1,-2,0.071334,145.811941,dy_43_dx_01_dy_0-2.png
-1,-1,-1.2,0.087288,213.076614,dy_4-1_dx_0-1_dy_0-1.2.png
-0.2,-1,-1.2,0.112779,186.482303,dy_4-0.2_dx_0-1_dy_0-1.2.png
0.6,-1,-1.2,0.147781,165.239729,dy_40.6_dx_0-1_dy_0-1.2.png
